 num, name, epoch,     a,      e,    i,    w,   node,     m,   h,   g, reference
1, Ceres,59200, 2.7660891, 0.07816843,  10.58790,  73.72489,  80.27236, 205.5454165,  3.53,  0.12, JPL 48
2, Pallas,59200, 2.7743817, 0.22975001,  34.85446, 310.28811, 172.96588, 187.5863463,  4.21,  0.11, JPL 42
3, Juno,59200, 2.6680198, 0.25698814,  12.99148, 248.03277, 169.85304, 170.7112453,  5.27,  0.32, JPL 117
4, Vesta,59200, 2.3620301, 0.08842502,   7.14165, 150.92248, 103.80833, 258.5678300,  3.31,  0.32, JPL 36
5, Astraea,59200, 2.5736208, 0.19078786,   5.36753, 358.62501, 141.57170,  65.6123815,  6.98,  0.15, JPL 119
6, Hebe,59200, 2.4245640, 0.20327773,  14.73973, 239.70766, 138.64292, 242.9448201,  5.65,  0.24, JPL 95
7, Iris,59200, 2.3871387, 0.22964636,   5.51827, 145.24071, 259.54045, 300.7926178,  5.59,  0.15, JPL 115
8, Flora,59200, 2.2013739, 0.15585017,   5.88909, 285.50186, 110.87628,  15.6385386,  6.54,  0.28, JPL 124
9, Metis,59200, 2.3860851, 0.12335345,   5.57632,   6.29357,  68.90479,  77.4294117,  6.33,  0.17, JPL 124
10, Hygiea,59200, 3.1426597, 0.11194746,   3.83149, 312.42093, 283.19825, 258.2093350,  5.55,  0.15, JPL 102
11, Parthenope,59200, 2.4523807, 0.09973566,   4.63183, 195.40452, 125.52873,  72.9965891,  6.58,  0.15, JPL 113
12, Victoria,59200, 2.3334691, 0.22051974,   8.37323,  69.73343, 235.39703, 299.0997494,  7.30,  0.22, JPL 124
13, Egeria,59200, 2.5766163, 0.08537031,  16.53381,  80.29319,  43.21908, 330.7918451,  6.83,  0.15, JPL 99
14, Irene,59200, 2.5867243, 0.16615708,   9.12076,  97.75094,  86.12375, 307.2219095,  6.50,  0.15, JPL 93
15, Eunomia,59200, 2.6442554, 0.18634573,  11.75338,  98.61792, 292.93527,  60.8458289,  5.37,  0.23, JPL 83
16, Psyche,59200, 2.9235421, 0.13372184,   3.09652, 229.08640, 150.03696,  46.4356504,  6.06,  0.20, JPL 90
17, Thetis,59200, 2.4700742, 0.13319305,   5.59293, 135.83395, 125.54162,  95.9837039,  7.78,  0.15, JPL 118
18, Melpomene,59200, 2.2961213, 0.21762876,  10.13180, 228.10469, 150.36235,  77.0938937,  6.51,  0.25, JPL 114
19, Fortuna,59200, 2.4420809, 0.15681589,   1.57288, 182.36688, 211.05913, 351.9013006,  7.38,  0.10, JPL 138
20, Massalia,59200, 2.4082679, 0.14277951,   0.70883, 257.53702, 205.98714, 275.0317590,  6.55,  0.25, JPL 112
21, Lutetia,59200, 2.4355915, 0.16341253,   3.06373, 250.05362,  80.86474, 139.7728952,  7.52,  0.11, JPL 115
22, Kalliope,59200, 2.9093016, 0.09807372,  13.70200, 357.48970,  65.99525, 314.1402426,  6.51,  0.21, JPL 106
23, Thalia,59200, 2.6257538, 0.23454061,  10.11222,  60.69138,  66.84388, 114.8072420,  7.16,  0.15, JPL 100
24, Themis,59200, 3.1361128, 0.12424077,   0.75160, 107.09840,  35.91818, 101.6137029,  7.26,  0.19, JPL 121
25, Phocaea,59200, 2.3997041, 0.25499709,  21.60654,  90.31205, 214.11875, 331.9209170,  7.85,  0.15, JPL 103
26, Proserpina,59200, 2.6555683, 0.08964686,   3.56241, 193.57962,  45.77309, 242.2799499,  7.50,  0.15, JPL 128
27, Euterpe,59200, 2.3461364, 0.17305549,   1.58371, 356.35150,  94.78703, 139.9535085,  7.07,  0.15, JPL 115
28, Bellona,59200, 2.7757239, 0.15168396,   9.43044, 343.95962, 144.28708,  41.4265215,  7.24,  0.15, JPL 110
29, Amphitrite,59200, 2.5550220, 0.07308725,   6.08210,  63.25552, 356.33038,  69.1770474,  6.02,  0.20, JPL 152
30, Urania,59200, 2.3647825, 0.12785288,   2.09601,  87.27598, 307.46804, 191.8163577,  7.56,  0.15, JPL 117
31, Euphrosyne,59200, 3.1597394, 0.21930138,  26.26682,  61.64796,  31.04119, 192.5175481,  6.86,  0.15, JPL 104
32, Pomona,59200, 2.5866077, 0.08179174,   5.52217, 338.91579, 220.38014, 174.6052679,  7.66,  0.15, JPL 116
